9562,latitude,longitude,type,residential_population
3312,48.6703014802,21.1844189768,dp,10
3313,48.6720849174,21.1844189768,dp,9
3314,48.672976636,21.1844189768,dp,5
3315,48.6738683546,21.1844189768,dp,9
3316,48.6783269476,21.1844189768,dp,0
3317,48.6792186662,21.1844189768,dp,1
3318,48.6658428872,21.1857736194,dp,20
3319,48.6667346058,21.1857736194,dp,7
3320,48.6676263244,21.1857736194,dp,6
3321,48.668518043,21.1857736194,dp,5
3322,48.6694097616,21.1857736194,dp,5
3323,48.6703014802,21.1857736194,dp,7
3324,48.6720849174,21.1857736194,dp,9
3325,48.672976636,21.1857736194,dp,5
3326,48.6738683546,21.1857736194,dp,9
3327,48.6792186662,21.1857736194,dp,0
3328,48.6801103848,21.1857736194,dp,1
3329,48.6640594499,21.187128262,dp,43
3330,48.6649511686,21.187128262,dp,4
3331,48.6658428872,21.187128262,dp,3
3332,48.6667346058,21.187128262,dp,4
3333,48.6676263244,21.187128262,dp,5
3334,48.668518043,21.187128262,dp,5
3335,48.6694097616,21.187128262,dp,5
3336,48.6703014802,21.187128262,dp,9
3337,48.672976636,21.187128262,dp,19
3338,48.6738683546,21.187128262,dp,30
3339,48.6801103848,21.187128262,dp,0
3340,48.6810021034,21.187128262,dp,0
3341,48.681893822,21.187128262,dp,0
3342,48.6827855406,21.187128262,dp,14
3343,48.6631677313,21.1884829046,dp,35
3344,48.6640594499,21.1884829046,dp,3
3345,48.6649511686,21.1884829046,dp,3
3346,48.6658428872,21.1884829046,dp,3
3347,48.6667346058,21.1884829046,dp,4
3348,48.6676263244,21.1884829046,dp,5
3349,48.668518043,21.1884829046,dp,5
3350,48.6694097616,21.1884829046,dp,5
3351,48.6703014802,21.1884829046,dp,12
3352,48.6827855406,21.1884829046,dp,5
3353,48.6631677313,21.1898375472,dp,7
3354,48.6640594499,21.1898375472,dp,3
3355,48.6649511686,21.1898375472,dp,3
3356,48.6658428872,21.1898375472,dp,3
3357,48.6667346058,21.1898375472,dp,4
3358,48.6676263244,21.1898375472,dp,5
3359,48.668518043,21.1898375472,dp,5
3360,48.6694097616,21.1898375472,dp,5
3361,48.6703014802,21.1898375472,dp,18
3362,48.6827855406,21.1898375472,dp,3
3363,48.6604925755,21.1911921898,dp,49
3364,48.6613842941,21.1911921898,dp,7
3365,48.6622760127,21.1911921898,dp,5
3366,48.6631677313,21.1911921898,dp,4
3367,48.6640594499,21.1911921898,dp,4
3368,48.6649511686,21.1911921898,dp,4
3369,48.6658428872,21.1911921898,dp,4
